,date,tweet
53,2022-10-30,(Jean-Marc Morandini): #Panique et drame à #Séoul pour Halloween : Comment une simple fête dans les rues a fait des dizaines de morts et des centaines de blessés ? Attention images difficiles à supporter : Au moins 146 personnes sont mortes et..  https://t.co/OXvTSr20XO
54,2022-10-30,Seoul Stampede Crowd Crush Halloween Incident #shorts  #Stampede #StampedeSeoul #Seoul crowd #HalloweenSeoulStampede   https://t.co/QweHKV0ZFR via @YouTube
55,2022-10-30,தென்கொரியாவில் உயிரிழந்த இலங்கையர் இனம்காணப்பட்டார்!  #southkorea #breakingnews #BREAKING #Shocking #YoonSukyeol #seoul #RishiSunak #EmmanuelMacron  https://t.co/jCyxglg0UJ
56,2022-10-30,"La cultura edonistica e dello sballo nell'era del collettivismo  L'egoismo, la stupidità L'idiozia di importare feste prive di significato, come  altre cose che arrivano dagli #USA  Dove #Halloween per molti è #MichaelMyers Che non sarebbe riuscito ad arrivare a tanto  #Seoul  https://t.co/dqRH486mxS"
57,2022-10-30,#SouthKorea in national mourning as over 150 people crushed to death during #Halloween stampede in #Seoul's #Itaewon   https://t.co/DCaRjGpJKi  https://t.co/5a784U7SdM
58,2022-10-30,"#Seoul #Halloween  Stampede: At Least 151 Killed, 150 Injured As Crowd Gone Uncontrolled #SeoulStampede  -  https://t.co/jyQJvn1qBN"
59,2022-10-30,Video 🚨  https://t.co/dCLHcaKNwS . . .  #MacharColonyIncident #Karachi #PaulSilva #Seoul #Halloween #LongMarch #PAKvsNED  https://t.co/DpmZ7Ji0DB
60,2022-10-30,Mamma mia. Senza parole #Seoul
61,2022-10-30,06:25 #Seoul 🇰🇷  1st 9 Naol Sniper 11/8 f 2nd 2 The Queen Justice 17/2 3rd 8 Seongsil Money 9/2  11 Ran. Forecast: 16.21 STK Tricast: 51.52 STK
62,2022-10-30,#Seoul #InterSampdoria #LecceJuventus #Halloween #Speranzaingalera Dai un'occhiata al video di Sammedicola! #TikTok  https://t.co/e2a7BSnIry
63,2022-10-30,Flier for a fashion house  Software: Coreldraw Duration: 1 hour . . . #PaulSilva #อิแทวอน #dogecoin #Seoul #Halloween #Seoul #ELONMUSK #clocksgoback #LomachenkoOrtiz #Strictly #flier #GraphicDesign #GraphicDesigner #Graphic  https://t.co/AzZXh6QpWO
64,2022-10-30,#Condolences #Seoul  https://t.co/hhH63EqWCV
65,2022-10-30,"昨晚 #韩国 #首尔梨泰院 #万圣节 活动结束后，垃圾遍地。为了调查清楚 #踩踏事故 原因 #警察 封锁了现场。 Garbage was everywhere after the #Halloween event in #ITAEWON , #Seoul , #SouthKorea , last night. #Police cordoned off the scene to investigate the cause of the #stampede #news  https://t.co/7ZsaVCGs0T"
66,2022-10-30,Que essa tragédia que aconteceu em itaweon sirva de aviso para outras festividades que isso nunca mais aconteça e que o governo tome ações sobre festas e eventos sociais isso não pode acontecer denovo #prayforitaewon #Seoul
67,2022-10-30,How do you choose the right acids for your skin type?  https://t.co/soGU4uj9d8 via @Care Beauty  #Seoul #อิแทวอน #Halloween #StarAcademyleLive #dogecoin #TudorOut
68,2022-10-30,"🔥 seoul stampede video, korea Halloween accident, south korea halloween crowd surge, #Seoul #stampede seoul stampede halloween, itaewon stampede video, itaewon accidente, #ITAEWONHALLOWEEN #accident #Video   https://t.co/rrjkr9fhyl"
69,2022-10-30,Mourning altars for Itaewon stampede to be set up in #Seoul   https://t.co/IHrElPL486 #A24 #A24NewsAgency  https://t.co/96R8wfpZ4p
70,2022-10-30,"Less than 24 hours after its installation, hundreds gather in Dhi Qar to protest al-Sudani's government - Follow/RT/Fav - #NZvsSL : #HumanitySaviours : #ELONMUSK : #KnowAboutChhathPuja : #Seoul : Glenn Phillips : Liverpool : Klopp : Brighton : C...  https://t.co/Pep00SPx2A"
71,2022-10-30,#Iteawon #Seoul  https://t.co/PALCyPv8Mf
72,2022-10-30,💯💯💯#MONEY #cashback #sendmoney #easytouse #cheaper #nohassle #userfriendly #Crypto #Bitcoin #travel  #immigrants #bank #TrendingNow #BNB #BNBChain #dogecoin #DOGE #ELONMUSK #nsfwtwt #Halloween #Seoul #MetaverseNFT #clocksgoback #programming @zinaricoin @MikaelCBernard  https://t.co/8AlHBs30gM
73,2022-10-30,#SouthKorea's President Yoon Suk-yeol declared a period of national mourning after a Halloween crush killed some 151 people in a packed nightlife area in #Seoul    https://t.co/rK29ZXxZbO
74,2022-10-30,Motorcycle rental Antalya and İstanbul Türkiye 🇹🇷  Ant +905058886464 Ist +905340500111 #TOGG #cumhurbaskani #Antalya #İstanbul #Almanya #alanya #ankara #londra #kölün #berlin #TOGG2022 #kemalkılıçdaroglu #CHP #MeralAkşener #iyiparti #MHP #DevletBahceli #dogecoin #Seoul #อิแทวอน  https://t.co/IcLoXf2nuz
75,2022-10-30,Worst nightmare for anyone . Sending all my prayers to the victims #Seoul #Halloween #SouthKorea 💔
76,2022-10-30,KILIÇDAROĞLU ADAY OLURSA SEÇİMİ KAZANABİLİR Mİ ? #TOGG2022 #Seoul #gueneykore #kilicdaroglu #Şanlıurfa #SonDakika   https://t.co/b68b7FQ7p1
77,2022-10-30,"Bangladesh you beauty 😍 well played Zimbabwe,now hopeful for a big victory against Netherland #PAKvsNED &amp; India win against South Africa🤞 #INDvSA  What a tension, Welcome to Pakistan 🇵🇰 #T20WorldCup2022 #PakVsInd #PaulSilva #Seoul #Halloween #ELONMUSK"
78,2022-10-30,You did it bangla tigers 🐅 @BCBtigers ❤ you guys now you turn team Pakistan. Come harder today green shirts. Whole  is with you comonnnnnnnnnn   #T20WorldCup #pakvsned #INDvSA #BANvsZIM #PakistanCricket #BabarAzam𓃵 #Seoul #rizwan #mustafizurrehman  https://t.co/ON3GHDlAFl
79,2022-10-30,Loop Shorts  https://t.co/D1S3EFxOVD via @YouTube #อิแทวอน #Seoul
80,2022-10-30,😔#Seoul 🙏🏻
81,2022-10-30,देश दुनिया की 20 बड़ी ख़बरें देखिए फटाफट अंदाज़ में-   #Seoul #Halloween #PMMOdi #Mann_Ki_Baat #MissionHimachal #Gujarat #SomaliaBlast #ChattPooja  https://t.co/kxIpM1vqce
82,2022-10-30,#SouthKorea's President Yoon Suk-yeol declared a period of national mourning on #Sunday after a #Halloween crush killed some 151 people in a packed nightlife area in #Seoul !
83,2022-10-30,@Timcast #Seoul #seulestampida #Seul2022
84,2022-10-30,KBRI Seoul Sampaikan Tak Ada WNI Jadi Korban dalam Tragedi Halloween Itaewon  https://t.co/ZBUOwkIz1x #PestaHalloween #Seoul #TragediHalloween #KoreaSelatan
85,2022-10-30,"That's why we are always  ensure you that you wouldn't loss because fixed match is 100%sure*  *IF U ARE IN THIS GROUP  DON'T UNDERSTAND WHAT WE ARE DOING IN THIS GROUP,  PLEASE  ASK QUESTIONS ❓❓❓❓❓❓❓❓ #PaulSilva #sundayvibes #Seoul #LomachenkoOrtiz #ELONMUSK"
86,2022-10-30,#Halloween #ItaewonStampede  #ItaewonTragedy #ITAEWONHALLOWEEN  #SeoulStampede #Seoul #seoulhalloween  #梨泰院の事故 #梨泰院ハロウィン  超級恐怖的事故….告訴我們，警覺性必須提高…「人多的地方，絕對不要去」！👻💀😱🚷💢🇰🇷   https://t.co/kcAJFzA8GR
87,2022-10-30,The #Seoul #stampede is a tragedy that should have been avoided. My thoughts are with the families of the victims. #ITAEWONHALLOWEEN #ITAEWON #SouthKorea #ItaewonTragedy #Halloween   https://t.co/QCu7urno6J
88,2022-10-30,@InfosFrancaises @havaa94 Tout simplement terrifiant ! We are with you in our pray Seoul 🤲🤲 #Seoul
89,2022-10-30,"That's why we are always  ensure you that you wouldn't loss because fixed match is 100%sure*  *IF U ARE IN THIS GROUP  DON'T UNDERSTAND WHAT WE ARE DOING IN THIS GROUP,  PLEASE  ASK QUESTIONS ❓❓❓❓❓❓❓❓ #Halloween #Seoul #dogecoin #อิแทวอน #StrictlySpoiler"
90,2022-10-30,The fact that thousands continued to party while several hundreds were dying in front of them shows what kind of a society the West has become.   #Seoul
91,2022-10-30,Brazilian voters head to polls in second presidential run-off  #Brazilelections #voters #Luiz #Covid_19 #PaulSilva #อิแทวอน #dogecoin #Seoul #LomaOrtiz #LomachenkoOrtiz #Strictly    https://t.co/mNH30DxiPq
92,2022-10-30,"151 people died as a result of a stampede in #Seoul, among them 19 foreigners.   82 people were injured to varying degrees of severity."
93,2022-10-30,خطواتنا متناسقه على ارض الكيك بوكسينغ 👊 @9ROUNDKSA  #صباح_الخير #اليوم_المميز #اعترف_وش_تحتاج #التاريخ_الهجري #جنتل63 #صبر_جميل_ثم_جبر_عظيم #Seoul #Halloween #dogecoin  https://t.co/2b0N8XJJnY
94,2022-10-30,"DRAME DE SÉOUL | Près de 150 morts, des corps piétinés, les urgences submergées qui demandent aux passants de l'aide pour faire des massages cardiaques... #Seoul   Ce que l'on sait ⤵️  https://t.co/Wsn7ttjmJ1"
95,2022-10-30,Yine sabah sabah d vitamini alıpduruz😻🌞 GünAydınnlar🌞☕️🍀🎶 Güney Kore de neler olmuş öyle 😲 Çok acı 😔 İnsanlık ne zaman dur diyecek kötülüklere #Günaydın #MutluPazarlar  #Seoul  #Halloween  https://t.co/2Hd0QezNIq
96,2022-10-30,"*Good morning 🌄 prayer for everyone*   *Good morning Lord! This is the day that you have made, I will rejoice and be glad in it. With gratitude, I thank you for preserving my life for one more day.  #PaulSilva #dogecoin #Seoul #Halloween #INDvSA #clocksgoback #Strictly"
97,2022-10-30,#ITAEWONHALLOWEEN crowd crush in pictures #Seoul #SouthKoreaHalloween  https://t.co/3pZNaQHDpU
98,2022-10-30,Die Zahl der Toten nach einer Massenpanik in #Seoul ist auf 151 gestiegen. Unter den Opfern sollen besonders viele Frauen zwischen 20 und 30 Jahren sein.  Unser Nachrichtenüberblick für heute: 👇  https://t.co/ksaecFukok
99,2022-10-30,🤍🙏🏻  #itewon #Seoul #อิแทวอน #เกาหลีใต้  🇰🇷  https://t.co/hVzDFAYhXv
100,2022-10-30,you can contact this number if you know of any individual missing in Itaewon 이태원 right now !   (02) 2199 - 8660  #itaewon #seoul #missing #이태원  https://t.co/H1O7NZ1y9B
101,2022-10-30,#Halloween #ItaewonStampede  #ItaewonTragedy #ITAEWONHALLOWEEN  #SeoulStampede #Seoul #seoulhalloween  #梨泰院の事故 #梨泰院ハロウィン  超級恐怖的事故….告訴我們，警覺性必須提高…「人多的地方，絕對不要去」！👻💀😱🚷💢🇰🇷   https://t.co/aHyKuHbgHa
102,2022-10-30,My deepest condelence to those families that lost their love ones in the ITAEWON stampede🕊 to all the people who has been die in this stampede have a wonderful and greatful life in the eternal life 🕊 #Seoul #ITAEWONHALLOWEEN  https://t.co/MNOuAgOklb
103,2022-10-30,"Stealing is an act I would never ever condone under any circumstance. However, there is an interesting aspect of it that I want to encourage.... Please read more 👇  #fyp #thoughts #dogecoin #Seoul #ai #ia #black #white #อิแทวอน #story #ELONMUSK #Strictly   https://t.co/8dYRQ87Vfv  https://t.co/Ntps2CnGE8"
104,2022-10-30,Calling this incident a stampede/crowd surge will put the blame for the deaths on the people in the crowd. This isn't just a crowd surge. It is a clear case of poor management and the organizers must be held accountable. #Seoul #SeoulStampede #SouthKorea #CardiacArrest  https://t.co/NnGRhholua
105,2022-10-30,Güney Kore'deki izdihamda 120 kişi yaşamını yitirdi  https://t.co/3yugSpvtPO #SONDAKIKA  #SouthKorea  #Seoul  #Halloween #pazar
